"","Rank","Title","Runtime","Genre","Rating","Metascore","Votes","Director","Actor","Gross"
"76",26,"Good Guys Wear Black","95 min","Action",5.1,NA,3140,"Ted Post","Chuck Norris","$18.33M"
"77",27,"The Betsy","125 min","Drama",5.2,NA,1501,"Daniel Petrie","Laurence Olivier","$17.69M"
"78",28,"The One and Only","97 min","Comedy, Romance",5.7,NA,761,"Carl Reiner","Henry Winkler","$16.93M"
"79",29,"Corvette Summer","105 min","Adventure, Comedy",5.7,53,3020,"Matthew Robbins","Mark Hamill","$15.50M"
"80",30,"The Buddy Holly Story","114 min","Biography, Drama, Music",7.2,78,8661,"Steve Rash","Gary Busey","$14.36M"
"81",31,"The Bad News Bears Go to Japan","91 min","Comedy, Family, Sport",3.7,31,2937,"John Berry","Tony Curtis","$14.00M"
"82",32,"The Great Train Robbery","110 min","Adventure, Crime, Drama",6.9,68,16875,"Michael Crichton","Sean Connery","$13.03M"
"83",33,"The Other Side of the Mountain: Part II","100 min","Biography, Drama, Romance",6.1,NA,337,"Larry Peerce","Marilyn Hassett","$11.57M"
"84",34,"Moment by Moment","102 min","Drama, Romance",3.1,NA,1201,"Jane Wagner","Lily Tomlin","$10.96M"
"85",35,"The Swarm","116 min","Horror, Thriller",4.5,30,7450,"Irwin Allen","Michael Caine","$10.00M"
"86",36,"Game of Death","100 min","Action, Crime, Drama",6.1,36,19626,"Robert Clouse","Bruce Lee","$10.00M"
"87",37,"Straight Time","114 min","Crime, Drama",7.4,64,8235,"Ulu Grosbard","Dustin Hoffman","$9.90M"
"88",38,"The Brink's Job","104 min","Comedy, Crime, Drama",6.5,NA,2952,"William Friedkin","Peter Falk","$9.40M"
"89",39,"King of the Gypsies","112 min","Drama",6.3,38,1177,"Frank Pierson","Eric Roberts","$7.33M"
"90",40,"Thank God It's Friday","89 min","Comedy, Music",5.4,NA,2636,"Robert Klane","Donna Summer","$7.30M"
"91",41,"Somebody Killed Her Husband","97 min","Comedy, Crime, Mystery",5,NA,449,"Lamont Johnson","Farrah Fawcett","$6.10M"
"92",42,"Piranha","94 min","Comedy, Horror, Sci-Fi",5.9,71,20503,"Joe Dante","Bradford Dillman","$6.00M"
"93",43,"Pretty Baby","110 min","Drama",6.6,66,10359,"Louis Malle","Brooke Shields","$5.79M"
"94",44,"Dawn of the Dead","127 min","Horror, Thriller",7.9,71,115529,"George A. Romero","David Emge","$5.10M"
"95",45,"Brass Target","111 min","Action, Drama, Mystery",5.9,NA,1214,"John Hough","Sophia Loren","$5.01M"
"96",46,"The Driver","91 min","Action, Crime, Thriller",7.2,56,15406,"Walter Hill","Ryan O'Neal","$4.91M"
"97",47,"Damien: Omen II","107 min","Horror",6.3,45,30693,"Don Taylor","William Holden","$3.88M"
"98",48,"Fedora","114 min","Drama, Romance",6.8,NA,4353,"Billy Wilder","William Holden","$2.20M"
"99",49,"Slow Dancing in the Big City","110 min","Drama, Musical, Romance",5.1,NA,218,"John G. Avildsen","Paul Sorvino","$1.58M"
"100",50,"Caravans","127 min","Action, Adventure, History",6.1,NA,918,"James Fargo","Anthony Quinn","$1.00M"
"101",1,"Kramer vs. Kramer","105 min","Drama",7.8,77,138820,"Robert Benton","Dustin Hoffman","$106.26M"
"102",2,"The Amityville Horror","117 min","Horror",6.2,28,37145,"Stuart Rosenberg","James Brolin","$86.43M"
"103",3,"Apocalypse Now","147 min","Drama, Mystery, War",8.4,94,628919,"Francis Ford Coppola","Martin Sheen","$83.47M"
"104",4,"Star Trek: The Motion Picture","132 min","Adventure, Mystery, Sci-Fi",6.4,48,85912,"Robert Wise","William Shatner","$82.26M"
"105",5,"Alien","117 min","Horror, Sci-Fi",8.4,89,821836,"Ridley Scott","Sigourney Weaver","$78.90M"
"106",6,"The Muppet Movie","95 min","Adventure, Comedy, Family",7.6,74,34385,"James Frawley","Jim Henson","$76.66M"
"107",7,"10","122 min","Comedy, Romance",6.1,68,17087,"Blake Edwards","Dudley Moore","$74.87M"
"108",8,"The Jerk","94 min","Comedy",7.2,61,55186,"Carl Reiner","Steve Martin","$73.69M"
"109",9,"Moonraker","126 min","Action, Adventure, Sci-Fi",6.3,66,94935,"Lewis Gilbert","Roger Moore","$70.31M"
"110",10,"The Electric Horseman","121 min","Comedy, Drama, Romance",6.4,64,9153,"Sydney Pollack","Robert Redford","$61.80M"
"111",11,"The China Syndrome","122 min","Drama, Thriller",7.4,81,28755,"James Bridges","Jane Fonda","$51.72M"
"112",12,"Manhattan","96 min","Comedy, Drama, Romance",7.9,83,136359,"Woody Allen","Woody Allen","$45.70M"
"113",13,"Love at First Bite","96 min","Comedy",6.1,NA,5546,"Stan Dragoti","George Hamilton","$43.89M"
"114",14,"Meatballs","94 min","Comedy",6.2,60,20433,"Ivan Reitman","Bill Murray","$43.05M"
"115",15,"Escape from Alcatraz","112 min","Action, Biography, Crime",7.6,76,126978,"Don Siegel","Clint Eastwood","$43.00M"
"116",16,"The Main Event","112 min","Comedy, Romance, Sport",5.6,NA,2833,"Howard Zieff","Barbra Streisand","$42.80M"
"117",17,"Starting Over","105 min","Comedy, Romance",6.4,64,2664,"Alan J. Pakula","Burt Reynolds","$41.64M"
"118",18,"The In-Laws","103 min","Action, Adventure, Comedy",7.3,69,8345,"Arthur Hiller","Peter Falk","$38.20M"
"119",19,"All That Jazz","123 min","Drama, Music, Musical",7.9,72,29764,"Bob Fosse","Roy Scheider","$37.82M"
"120",20,"1941","118 min","Action, Comedy, War",5.8,34,32493,"Steven Spielberg","John Belushi","$31.76M"
"121",21,"The Champ","121 min","Drama, Sport",6.9,38,8287,"Franco Zeffirelli","Jon Voight","$30.44M"
"122",22,"Being There","130 min","Comedy, Drama",8,83,69657,"Hal Ashby","Peter Sellers","$30.18M"
"123",23,"The Rose","125 min","Drama, Music, Romance",7,67,8288,"Mark Rydell","Bette Midler","$29.20M"
"124",24,"Going in Style","97 min","Comedy, Crime, Drama",7.1,65,3038,"Martin Brest","George Burns","$26.87M"
"125",25,"North Dallas Forty","119 min","Comedy, Drama, Sport",7,80,5022,"Ted Kotcheff","Nick Nolte","$26.08M"
"126",26,"Caligula","156 min","Drama, History",5.3,NA,34709,"Tinto Brass","Malcolm McDowell","$23.44M"
"127",27,"The Warriors","92 min","Action, Crime, Thriller",7.6,65,97634,"Walter Hill","Michael Beck","$22.49M"
"128",28,"Norma Rae","114 min","Drama",7.3,61,11079,"Martin Ritt","Sally Field","$22.23M"
"129",29,"Buck Rogers in the 25th Century","89 min","Action, Adventure, Sci-Fi",6.6,NA,5715,"Daniel Haller","Gil Gerard","$21.67M"
"130",30,"When a Stranger Calls","97 min","Horror, Mystery, Thriller",6.5,58,10978,"Fred Walton","Carol Kane","$21.41M"
"131",31,"The Apple Dumpling Gang Rides Again","88 min","Comedy, Family, Western",6.1,37,2720,"Vincent McEveety","Tim Conway","$20.93M"
"132",32,"A Force of One","90 min","Action, Crime, Drama",5.1,51,3733,"Paul Aaron","Jennifer O'Neill","$20.17M"
"133",33,"Dracula","109 min","Drama, Horror, Romance",6.5,67,9552,"John Badham","Frank Langella","$20.16M"
"134",34,"Monty Python's Life of Brian","94 min","Comedy",8.1,77,380995,"Terry Jones","Graham Chapman","$20.05M"
"135",35,"Prophecy","102 min","Horror, Sci-Fi, Thriller",5.5,41,4804,"John Frankenheimer","Talia Shire","$18.39M"
"136",36,"Breaking Away","101 min","Comedy, Drama, Romance",7.7,91,22640,"Peter Yates","Dennis Christopher","$16.42M"
"137",37,"Hair","121 min","Comedy, Drama, Musical",7.6,68,36338,"Milos Forman","John Savage","$15.28M"
"138",38,"More American Graffiti","110 min","Comedy, Drama, War",5.3,44,4370,"Bill Norton","Candy Clark","$15.01M"
"139",39,"Roller Boogie","103 min","Comedy, Drama, Music",4.6,NA,1737,"Mark L. Lester","Linda Blair","$13.25M"
"140",40,"The Concorde... Airport '79","113 min","Action, Drama, Thriller",4.4,39,6025,"David Lowell Rich","Alain Delon","$13.00M"
"141",41,"Phantasm","89 min","Horror, Sci-Fi",6.7,72,34194,"Don Coscarelli","A. Michael Baldwin","$11.99M"
"142",42,"The Onion Field","122 min","Crime, Drama",6.8,57,4819,"Harold Becker","John Savage","$9.89M"
"143",43,"The Frisco Kid","119 min","Adventure, Comedy, Drama",6.4,38,10190,"Robert Aldrich","Gene Wilder","$9.35M"
"144",44,"Mad Max","88 min","Action, Adventure, Sci-Fi",6.9,73,198226,"George Miller","Mel Gibson","$8.75M"
"145",45,"Agatha","105 min","Drama, Mystery, Thriller",6.3,NA,3016,"Michael Apted","Dustin Hoffman","$7.50M"
"146",46,"Rocky II","119 min","Drama, Sport",7.3,61,198914,"Sylvester Stallone","Sylvester Stallone","$6.39M"
"147",47,"Americathon","86 min","Comedy",4.5,NA,861,"Neal Israel","Harvey Korman","$6.17M"
"148",48,"Butch and Sundance: The Early Days","115 min","Comedy, Western",5.6,NA,1438,"Richard Lester","William Katt","$5.14M"
"149",49,"Yanks","138 min","Drama, War",6.4,NA,3358,"John Schlesinger","Richard Gere","$3.93M"
"150",50,"Lost and Found","106 min","Comedy",5,NA,341,"Melvin Frank","George Segal","$3.22M"
"151",1,"Star Wars: Episode V - The Empire Strikes Back","124 min","Action, Adventure, Fantasy",8.7,82,1203383,"Irvin Kershner","Mark Hamill","$290.48M"
"152",2,"Superman II","127 min","Action, Adventure, Sci-Fi",6.8,83,102966,"Richard Lester","Gene Hackman","$108.19M"
"153",3,"Nine to Five","109 min","Comedy",6.9,58,30324,"Colin Higgins","Jane Fonda","$103.29M"
"154",4,"Stir Crazy","111 min","Comedy, Crime",6.8,56,26762,"Sidney Poitier","Gene Wilder","$101.30M"
"155",5,"Airplane!","88 min","Comedy",7.7,78,224162,"Jim Abrahams","Robert Hays","$83.40M"
"156",6,"Any Which Way You Can","116 min","Action, Comedy",6.1,51,18444,"Buddy Van Horn","Clint Eastwood","$70.69M"
"157",7,"Private Benjamin","109 min","Comedy, War",6.2,59,24908,"Howard Zieff","Goldie Hawn","$69.85M"
"158",8,"Coal Miner's Daughter","124 min","Biography, Drama, Music",7.5,87,17613,"Michael Apted","Sissy Spacek","$67.18M"
"159",9,"Smokey and the Bandit II","100 min","Action, Adventure, Comedy",5.3,41,15443,"Hal Needham","Burt Reynolds","$66.13M"
"160",10,"The Blue Lagoon","104 min","Adventure, Drama, Romance",5.8,31,65971,"Randal Kleiser","Brooke Shields","$58.85M"
"161",11,"The Blues Brothers","133 min","Action, Adventure, Comedy",7.9,60,189858,"John Landis","John Belushi","$57.23M"
"162",12,"Ordinary People","124 min","Drama",7.7,86,49438,"Robert Redford","Donald Sutherland","$54.80M"
"163",13,"Urban Cowboy","132 min","Drama, Romance, Western",6.4,61,14171,"James Bridges","John Travolta","$53.30M"
"164",14,"Popeye","114 min","Adventure, Comedy, Family",5.3,64,30692,"Robert Altman","Robin Williams","$49.82M"
"165",15,"The Shining","146 min","Drama, Horror",8.4,66,940504,"Stanley Kubrick","Jack Nicholson","$44.02M"
"166",16,"Seems Like Old Times","102 min","Comedy, Romance",6.7,58,9401,"Jay Sandrich","Goldie Hawn","$44.00M"
"167",17,"Cheech and Chong's Next Movie","99 min","Comedy, Crime, Sci-Fi",6.1,66,13660,"Tommy Chong","Cheech Marin","$41.68M"
"168",18,"Caddyshack","98 min","Comedy, Sport",7.3,48,110895,"Harold Ramis","Chevy Chase","$39.85M"
"169",19,"Friday the 13th","95 min","Horror, Mystery, Thriller",6.4,22,127664,"Sean S. Cunningham","Betsy Palmer","$39.75M"
"170",20,"Brubaker","131 min","Crime, Drama",7.2,54,16948,"Stuart Rosenberg","Robert Redford","$37.12M"
"171",21,"Little Darlings","96 min","Comedy, Drama",6.5,45,5310,"Ron Maxwell","Tatum O'Neal","$34.33M"
"172",22,"Dressed to Kill","104 min","Crime, Drama, Mystery",7.1,74,38807,"Brian De Palma","Michael Caine","$31.90M"
"173",23,"The Gods Must Be Crazy","109 min","Adventure, Comedy",7.3,73,54175,"Jamie Uys","N!xau","$30.03M"
"174",24,"The Jazz Singer","115 min","Drama, Music, Romance",5.9,37,4202,"Richard Fleischer","Laurence Olivier","$27.12M"
"175",25,"Bronco Billy","116 min","Action, Adventure, Comedy",6.1,66,11440,"Clint Eastwood","Clint Eastwood","$24.27M"
"176",26,"Raging Bull","129 min","Biography, Drama, Sport",8.2,89,335219,"Martin Scorsese","Robert De Niro","$23.38M"
"177",27,"The Long Riders","100 min","Biography, Crime, Western",7,64,10706,"Walter Hill","David Carradine","$23.00M"
"178",28,"American Gigolo","117 min","Crime, Drama, Mystery",6.3,57,24180,"Paul Schrader","Richard Gere","$23.00M"
"179",29,"Xanadu","96 min","Fantasy, Musical, Romance",5.3,31,12723,"Robert Greenwald","Olivia Newton-John","$22.76M"
"180",30,"My Bodyguard","102 min","Comedy, Drama, Family",7.1,67,9127,"Tony Bill","Chris Makepeace","$22.48M"
"181",31,"The Fog","89 min","Horror, Thriller",6.8,55,67981,"John Carpenter","Adrienne Barbeau","$21.38M"
"182",32,"Altered States","102 min","Horror, Sci-Fi, Thriller",6.9,58,33561,"Ken Russell","William Hurt","$19.85M"
"183",33,"Cruising","102 min","Crime, Drama, Mystery",6.5,43,22108,"William Friedkin","Al Pacino","$19.80M"
"184",34,"The Octagon","103 min","Action, Drama, Romance",5.1,48,5370,"Eric Karson","Chuck Norris","$18.97M"
"185",35,"Windwalker","108 min","Adventure, Drama, Western",6.9,NA,1063,"Kieth Merrill","Trevor Howard","$18.64M"
"186",36,"The Private Eyes","91 min","Comedy, Mystery",6.7,NA,2954,"Lang Elliott","Tim Conway","$18.01M"
"187",37,"Herbie Goes Bananas","100 min","Adventure, Comedy, Family",5,55,5514,"Vincent McEveety","Charles Martin Smith","$18.00M"
"188",38,"Honeysuckle Rose","119 min","Drama, Music, Romance",6.3,NA,1488,"Jerry Schatzberg","Willie Nelson","$17.82M"
"189",39,"The Final Countdown","103 min","Action, Adventure, Sci-Fi",6.7,51,22688,"Don Taylor","Kirk Douglas","$16.65M"
"190",40,"Hero at Large","98 min","Comedy, Romance",6,NA,1545,"Martin Davidson","John Ritter","$15.93M"
"191",41,"The Island","109 min","Action, Adventure, Drama",5.3,NA,4142,"Michael Ritchie","Michael Caine","$15.72M"
"192",42,"First Family","97 min","Comedy",4.3,NA,663,"Buck Henry","Bob Newhart","$15.20M"
"193",43,"Raise the Titanic","115 min","Action, Drama, Thriller",5,NA,4405,"Jerry Jameson","Jason Robards","$14.82M"
"194",44,"Prom Night","92 min","Horror, Mystery, Thriller",5.4,45,16824,"Paul Lynch","Leslie Nielsen","$14.80M"
"195",45,"The Nude Bomb","94 min","Action, Comedy, Crime",5.1,NA,3217,"Clive Donner","Don Adams","$14.66M"
"196",46,"Oh, God! Book II","94 min","Comedy, Fantasy",5.2,35,2251,"Gilbert Cates","George Burns","$14.50M"
"197",47,"The Competition","123 min","Drama, Romance, Music",6.7,NA,1991,"Joel Oliansky","Richard Dreyfuss","$14.29M"
"198",48,"Wholly Moses!","103 min","Comedy, Fantasy",4.7,NA,1946,"Gary Weis","Dudley Moore","$14.16M"
"199",49,"The Last Flight of Noah's Ark","97 min","Adventure, Family",5.8,NA,1350,"Charles Jarrott","Elliott Gould","$11.00M"
"200",50,"It's My Turn","91 min","Comedy, Drama",5.5,NA,978,"Claudia Weill","Jill Clayburgh","$11.00M"
"201",1,"Indiana Jones and the Raiders of the Lost Ark","115 min","Action, Adventure",8.4,85,915823,"Steven Spielberg","Harrison Ford","$248.16M"
"202",2,"On Golden Pond","109 min","Drama",7.6,68,29352,"Mark Rydell","Katharine Hepburn","$119.29M"
"203",3,"Porky's","94 min","Comedy",6.2,40,40553,"Bob Clark","Dan Monahan","$111.29M"
"204",4,"Arthur","97 min","Comedy, Romance",6.9,69,27039,"Steve Gordon","Dudley Moore","$95.46M"
"205",5,"Stripes","106 min","Comedy, War",6.9,68,68872,"Ivan Reitman","Bill Murray","$85.30M"
"206",6,"The Cannonball Run","95 min","Action, Comedy, Sport",6.3,28,34690,"Hal Needham","Burt Reynolds","$72.18M"
"207",7,"The Fox and the Hound","83 min","Animation, Adventure, Drama",7.3,65,88277,"Ted Berman","Mickey Rooney","$63.46M"
"208",8,"For Your Eyes Only","127 min","Action, Adventure, Thriller",6.7,54,95777,"John Glen","Roger Moore","$62.30M"
"209",9,"Chariots of Fire","125 min","Biography, Drama, Sport",7.2,78,57398,"Hugh Hudson","Ben Cross","$58.97M"
"210",10,"The Four Seasons","107 min","Comedy, Drama",6.8,55,4416,"Alan Alda","Alan Alda","$50.43M"
"211",11,"Time Bandits","110 min","Adventure, Comedy, Fantasy",7,79,61063,"Terry Gilliam","Sean Connery","$42.37M"
"212",12,"Clash of the Titans","118 min","Action, Adventure, Family",6.9,59,42699,"Desmond Davis","Laurence Olivier","$41.09M"
"213",13,"Absence of Malice","116 min","Drama, Romance, Thriller",6.9,64,12802,"Sydney Pollack","Paul Newman","$40.72M"
"214",14,"Reds","195 min","Biography, Drama, History",7.3,76,21927,"Warren Beatty","Warren Beatty","$40.38M"
"215",15,"Tarzan the Ape Man","115 min","Adventure, Drama",3.4,24,5573,"John Derek","Bo Derek","$36.57M"
"216",16,"Taps","126 min","Drama",6.8,49,17350,"Harold Becker","George C. Scott","$35.86M"
"217",17,"Sharky's Machine","122 min","Action, Crime, Drama",6.4,58,5790,"Burt Reynolds","Burt Reynolds","$35.61M"
"218",18,"Excalibur","140 min","Adventure, Drama, Fantasy",7.4,56,59455,"John Boorman","Nigel Terry","$34.97M"
"219",19,"Nice Dreams","88 min","Comedy, Crime",6.2,54,7355,"Tommy Chong","Cheech Marin","$33.98M"
"220",20,"History of the World: Part I","92 min","Comedy, History, Musical",6.9,47,47608,"Mel Brooks","Mel Brooks","$31.67M"
"221",21,"Bustin' Loose","94 min","Comedy, Drama",6.1,55,3117,"Oz Scott","Richard Pryor","$31.26M"
"222",22,"The Great Muppet Caper","97 min","Adventure, Comedy, Crime",7.2,70,14724,"Jim Henson","Jim Henson","$31.21M"
"223",23,"Endless Love","116 min","Drama, Romance",4.9,30,7984,"Franco Zeffirelli","Brooke Shields","$31.18M"
"224",24,"An American Werewolf in London","97 min","Comedy, Horror",7.5,55,98725,"John Landis","David Naughton","$30.57M"
